"1:1-6"
"2:1-12"
"3:1-8"
"4:1-8"
"5:1-7"
"5:8-12"
"6:1-10"
"7:1-8"
"7:9-17"
"8:1-9"
"9:1-11"
"9:12-20"
"10:1-4"
"10:5-12"
"10:13-18"
"11:1-7"
"12:1-8"
"13:1-6"
"14:1-7"
"15:1-5"
"16:1-11"
"17:1-7"
"17:8-15"
"18:1-5"
"18:6-11"
"18:12-19"
"18:20-27"
"18:28-37"
"18:38-45"
"18:46-50"
"19:1-6"
"19:7-14"
"20:1-9"
"21:1-7"
"21:8-13"
"22:1-10"
"22:11-21"
"22:22-31"
"23:1-6"
"24:1-6"
"24:7-10"
"25:1-7"
"25:8-14"
"25:15-22"
"26:1-6"
"26:7-12"
"27:1-6"
"27:7-14"
"28:1-9"
"29:1-6"
"29:7-11"
"30:1-7a"
"30:7b-12"
"31:1-8"
"31:9-18"
"31:19-24"
"32:1-6"
"32:7-11"
"33:1-11"
"33:12-22"
"34:1-10"
"34:11-17"
"34:18-22"
"35:1-10"
"35:11-16"
"35:17-23"
"35:24-28"
"36:1-7"
"36:8-12"
"37:1-9"
"37:10-21"
"37:22-28"
"37:29-34"
"37:35-40"
"38:1-9"
"38:10-15"
"38:16-22"
"39:1-6"
"39:7-13"
"40:1-7"
"40:8-17"
"41:1-6"
"41:7-13"
"42:1-5"
"42:6-11"
"43:1-5"
"44:1-8"
"44:9-15"
"44:16-26"
"45:1-7"
"45:8-17"
"46:1-11"
"47:1-9"
"48:1-14"
"49:1-11"
"49:12-20"
"50:1-8"
"50:9-18"
"50:19-23"
"51:1-10"
"51:11-19"
"52:1-9"
"53:1-6"
"54:1-7"
"55:1-15"
"55:16-23"
"56:1-13"
"57:1-11"
"58:1-6"
"58:7-11"
"59:1-9"
"59:10-17"
"60:1-12"
"61:1-8"
"62:1-6"
"62:7-12"
"63:1-11"
"64:1-10"
"65:1-8"
"65:9-13"
"66:1-11"
"66:12-20"
"67:1-7"
"68:1-8"
"68:9-17"
"68:18-26"
"68:27-35"
"69:1-8"
"69:9-19"
"69:20-29"
"69:30-36"
"70:1-5"
"71:1-10"
"71:11-19"
"71:20-24"
"72:1-10"
"72:11-19"
"73:1-11"
"73:12-20"
"73:21-28"
"74:1-11"
"74:12-17"
"74:18-23"
"75:1-10"
"76:1-12"
"77:1-9"
"77:10-16"
"77:17-20"
"78:1-8"
"78:9-19"
"78:20-29"
"78:30-37"
"78:38-48"
"78:49-55"
"78:56-65"
"78:66-72"
"79:1-8"
"79:9-13"
"80:1-9"
"80:10-19"
"81:1-10"
"81:11-16"
"82:1-8"
"83:1-8"
"83:9-18"
"84:1-12"
"85:1-13"
"86:1-10"
"86:11-17"
"87:1-7"
"88:1-9"
"88:10-18"
"89:1-10"
"89:11-20"
"89:21-34"
"89:35-43"
"89:44-52"
"90:1-9"
"90:10-17"
"91:1-8"
"91:9-16"
"92:1-9"
"92:10-15"
"93:1-5"
"94:1-10"
"94:11-23"
"95:1-11"
"96:1-8"
"96:9-13"
"97:1-12"
"98:1-9"
"99:1-9"
"100:1-5"
"101:1-8"
"102:1-12"
"102:13-22"
"102:23-28"
"103:1-12"
"103:13-22"
"104:1-9"
"104:10-16"
"104:17-24"
"104:25-35"
"105:1-7"
"105:8-14"
"105:15-23"
"105:24-33"
"105:34-45"
"106:1-8"
"106:9-18"
"106:19-31"
"106:32-42"
"106:43-48"
"107:1-8"
"107:9-15"
"107:16-31"
"107:32-43"
"108:1-13"
"109:1-10"
"109:11-18"
"109:19-25"
"109:26-31"
"110:1-7"
"111:1-10"
"112:1-5"
"112:6-10"
"113:1-9"
"114:1-8"
"115:1-9"
"115:10-18"
"116:1-8"
"116:9-19"
"117:1-2"
"118:1-11"
"118:12-23"
"118:24-29"
"119:1-8"
"119:9-16"
"119:17-24"
"119:25-32"
"119:33-40"
"119:41-48"
"119:49-56"
"119:57-64"
"119:65-72"
"119:73-80"
"119:81-88"
"119:89-96"
"119:97-104"
"119:105-112"
"119:113-120"
"119:121-128"
"119:129-136"
"119:137-144"
"119:145-152"
"119:153-160"
"119:161-168"
"119:169-176"
"120:1-7"
"121:1-8"
"122:1-9"
"123:1-4"
"124:1-4"
"124:5-8"
"125:1-5"
"126:1-6"
"127:1-5"
"128:1-6"
"129:1-8"
"130:1-8"
"131:1-3"
"132:1-10"
"132:11-18"
"133:1-3"
"134:1-3"
"135:1-7"
"135:8-14"
"135:15-21"
"136:1-5"
"136:6-9"
"136:10-14"
"136:15-18"
"136:19-26"
"137:1-9"
"138:1-4"
"138:5-8"
"139:1-10"
"139:11-16a"
"139:16b-24"
"140:1-6"
"140:7-13"
"141:1-5"
"141:6-10"
"142:1-7"
"143:1-3"
"143:4-7"
"143:8-12"
"144:1-8"
"144:9-15"
"145:1-8"
"145:9-18"
"145:19-21"
"146:1-6"
"146:7-10"
"147:1-5"
"147:6-13"
"147:14-20"
"148:1-6"
"148:7-14"
"149:1-5"
"149:6-9"
"150:1-6"
